Position	raw_path	file_name	new_name	group	type	sample_id	Corrected.Name
40	E:\Sergio-GPS\individual-runs\20220302_CIMS13-1.mzML.dia	20220302_CIMS13-1	CIMS13.1_A4	CIMS13	S	CIMS13-1	no
41	E:\Sergio-GPS\individual-runs\20220302_CIMS13-3.mzML.dia	20220302_CIMS13-3	CIMS13.3_E5	CIMS13	S	CIMS13-3	no
42	E:\Sergio-GPS\individual-runs\20220302_CIMS14-3.mzML.dia	20220302_CIMS14-3	CIMS14.3_C4	CIMS14	S	CIMS14-3	no
43	E:\Sergio-GPS\individual-runs\20220302_CIMS17-1.mzML.dia	20220302_CIMS17-1	CIMS17.1_B4	CIMS17	S	CIMS17-1	no
44	E:\Sergio-GPS\individual-runs\20220302_CIMS2-1.mzML.dia	20220302_CIMS2-1	CIMS2.1_A6	CIMS2	S	CIMS2-1	no
45	E:\Sergio-GPS\individual-runs\20220302_CIMS20-1.mzML.dia	20220302_CIMS20-1	CIMS20.1_H7	CIMS20	S	CIMS20-1	no
46	E:\Sergio-GPS\individual-runs\20220302_CIMS20-2_E12.mzML.dia	20220302_CIMS20-2_E12	CIMS20.2_E12	CIMS20	S	CIMS20-2	yes
47	E:\Sergio-GPS\individual-runs\20220302_CIMS21-1.mzML.dia	20220302_CIMS21-1	CIMS21.1_C8	CIMS21	S	CIMS21-1	no
48	E:\Sergio-GPS\individual-runs\20220302_CIMS23-1.mzML.dia	20220302_CIMS23-1	CIMS23.1_B2	CIMS23	S	CIMS23-1	no
49	E:\Sergio-GPS\individual-runs\20220302_CIMS24-1.mzML.dia	20220302_CIMS24-1	CIMS24.1_E2	CIMS24	S	CIMS24-1	no
50	E:\Sergio-GPS\individual-runs\20220302_CIMS26-1.mzML.dia	20220302_CIMS26-1	CIMS26.1_D2	CIMS26	S	CIMS26-1	no
51	E:\Sergio-GPS\individual-runs\20220302_CIMS28-3.mzML.dia	20220302_CIMS28-3	CIMS28.3_H3	CIMS28	S	CIMS28-3	no
52	E:\Sergio-GPS\individual-runs\20220302_CIMS4-3.mzML.dia	20220302_CIMS4-3	CIMS4.3_F10	CIMS4	S	CIMS4-3	no
53	E:\Sergio-GPS\individual-runs\20220302_CIMS7-1.mzML.dia	20220302_CIMS7-1	CIMS7.1_H5	CIMS7	S	CIMS7-1	no
54	E:\Sergio-GPS\individual-runs\20220302_CIMS8-3.mzML.dia	20220302_CIMS8-3	CIMS8.3_B6	CIMS8	S	CIMS8-3	no
55	E:\Sergio-GPS\individual-runs\20220302_NC-1.mzML.dia	20220302_NC-1	NC.1_G2	NC	NC	NC-1	no
56	E:\Sergio-GPS\individual-runs\20220303_CIMS10-3.mzML.dia	20220303_CIMS10-3	CIMS10.3_D11	CIMS10	S	CIMS10-3	no
57	E:\Sergio-GPS\individual-runs\20220303_CIMS14-1.mzML.dia	20220303_CIMS14-1	CIMS14.1_A2	CIMS14	S	CIMS14-1	no
58	E:\Sergio-GPS\individual-runs\20220303_CIMS16-1.mzML.dia	20220303_CIMS16-1	CIMS16.1_D10	CIMS16	S	CIMS16-1	no
59	E:\Sergio-GPS\individual-runs\20220303_CIMS16-3.mzML.dia	20220303_CIMS16-3	CIMS16.3_F7	CIMS16	S	CIMS16-3	no
60	E:\Sergio-GPS\individual-runs\20220303_CIMS19-1.mzML.dia	20220303_CIMS19-1	CIMS19.1_F2	CIMS19	S	CIMS19-1	no
61	E:\Sergio-GPS\individual-runs\20220303_CIMS19-3.mzML.dia	20220303_CIMS19-3	CIMS19.3_G12	CIMS19	S	CIMS19-3	no
62	E:\Sergio-GPS\individual-runs\20220303_CIMS2-3.mzML.dia	20220303_CIMS2-3	CIMS2.3_C10	CIMS2	S	CIMS2-3	no
63	E:\Sergio-GPS\individual-runs\20220303_CIMS20-3.mzML.dia	20220303_CIMS20-3	CIMS20.3_G9	CIMS20	S	CIMS20-3	no
64	E:\Sergio-GPS\individual-runs\20220303_CIMS22-3.mzML.dia	20220303_CIMS22-3	CIMS22.3_C5	CIMS22	S	CIMS22-3	no
65	E:\Sergio-GPS\individual-runs\20220303_CIMS24-1.mzML.dia	20220303_CIMS24-1	CIMS24.1_F3	CIMS24	S	CIMS24-1	no
66	E:\Sergio-GPS\individual-runs\20220303_CIMS27-1.mzML.dia	20220303_CIMS27-1	CIMS27.1_D5	CIMS27	S	CIMS27-1	no
67	E:\Sergio-GPS\individual-runs\20220303_CIMS27-2_G11.mzML.dia	20220303_CIMS27-2_G11	CIMS27.2_G11	CIMS27	S	CIMS27-2	yes
68	E:\Sergio-GPS\individual-runs\20220303_CIMS27-3.mzML.dia	20220303_CIMS27-3	CIMS27.3_F9	CIMS27	S	CIMS27-3	no
69	E:\Sergio-GPS\individual-runs\20220303_CIMS3-1.mzML.dia	20220303_CIMS3-1	CIMS3.1_C2	CIMS3	S	CIMS3-1	no
70	E:\Sergio-GPS\individual-runs\20220303_CIMS3-2_C3.mzML.dia	20220303_CIMS3-2_C3	CIMS3.2_C3	CIMS3	S	CIMS3-2	yes
71	E:\Sergio-GPS\individual-runs\20220303_CIMS30-1.mzML.dia	20220303_CIMS30-1	CIMS30.1_B11	CIMS30	S	CIMS30-1	no
72	E:\Sergio-GPS\individual-runs\20220303_CIMS30-3.mzML.dia	20220303_CIMS30-3	CIMS30.3_B3	CIMS30	S	CIMS30-3	no
73	E:\Sergio-GPS\individual-runs\20220303_CIMS4-1.mzML.dia	20220303_CIMS4-1	CIMS4.1_D8	CIMS4	S	CIMS4-1	no
74	E:\Sergio-GPS\individual-runs\20220303_CIMS5-1.mzML.dia	20220303_CIMS5-1	CIMS5.1_B1	CIMS5	S	CIMS5-1	no
75	E:\Sergio-GPS\individual-runs\20220303_CIMS5-2_D6.mzML.dia	20220303_CIMS5-2_D6	CIMS5.2_D6	CIMS5	S	CIMS5-2	yes
76	E:\Sergio-GPS\individual-runs\20220303_CIMS5-3.mzML.dia	20220303_CIMS5-3	CIMS5.3_F6	CIMS5	S	CIMS5-3	no
77	E:\Sergio-GPS\individual-runs\20220303_CIMS7-1.mzML.dia	20220303_CIMS7-1	CIMS7.1_E7	CIMS7	S	CIMS7-1	no
78	E:\Sergio-GPS\individual-runs\20220303_CIMS8-1.mzML.dia	20220303_CIMS8-1	CIMS8.1_A5	CIMS8	S	CIMS8-1	no
79	E:\Sergio-GPS\individual-runs\20220303_NC-2.mzML.dia	20220303_NC-2	NC.2_C12	NC	NC	NC-2	no
80	E:\Sergio-GPS\individual-runs\20220304_Full_Plasma-1.mzML.dia	20220304_Full_Plasma-1	Full_Plasma.1	Plasma	P	Plasma-1	no
81	E:\Sergio-GPS\individual-runs\20220304_Full_Plasma-2.mzML.dia	20220304_Full_Plasma-2	Full_Plasma.2	Plasma	P	Plasma-2	no
82	E:\Sergio-GPS\individual-runs\20220304_Full_Plasma-3.mzML.dia	20220304_Full_Plasma-3	Full_Plasma.3	Plasma	P	Plasma-3	no
